Name,Source,Category,Description,Link
books,GitHub,Repo,【编程随想】收藏的电子书清单（多个学科，含下载链接）,https://github.com/programthink/books
functional-programming-jargon,GitHub,Repo,Jargon from the functional programming world in simple terms!,https://github.com/hemanth/functional-programming-jargon
fantasy-land,GitHub,Repo,Specification for interoperability of common algebraic structures in JavaScript,https://github.com/fantasyland/fantasy-land
devilution,GitHub,Repo,Diablo devolved - magic behind the 1996 computer game,https://github.com/diasurgical/devilution
awesome-solidity,GitHub,Repo,"⟠ A curated list of awesome Solidity resources, libraries, tools and more",https://github.com/bkrem/awesome-solidity
anti-adblock-killer,GitHub,Repo,"Anti-Adblock Killer helps you keep your Ad-Blocker active, when you visit a website and it asks you to disable.",https://github.com/reek/anti-adblock-killer
awesome-fp-js,GitHub,Repo,:sunglasses: A curated list of awesome functional programming stuff in js,https://github.com/stoeffel/awesome-fp-js
swarms,GitHub,Repo,The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai,https://github.com/kyegomez/swarms
awesome-scifi,GitHub,Repo,Sci-Fi worth consuming,https://github.com/sindresorhus/awesome-scifi
APT_CyberCriminal_Campagin_Collections,GitHub,Repo,APT & CyberCriminal Campaign Collection,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections
APTnotes,GitHub,Repo,"Various public documents, whitepapers and articles about APT campaigns",https://github.com/kbandla/APTnotes
awesome-functional-programming,GitHub,Repo,"Yet another resource for collecting articles, videos etc. regarding functional programming",https://github.com/xgrommx/awesome-functional-programming
sanctuary,GitHub,Repo,:see_no_evil: Refuge from unsafe JavaScript,https://github.com/sanctuary-js/sanctuary
awesome-notebooks,GitHub,Repo,"Data & AI Notebook templates catalog organized by tools, following the IMO (input, model, output) framework for easy usage and discovery..",https://github.com/jupyter-naas/awesome-notebooks
Fluture,GitHub,Repo,🦋 Fantasy Land compliant (monadic) alternative to Promises,https://github.com/fluture-js/Fluture
Index-2025,GitHub,Repo,,https://github.com/SamPutnam/Index-2025
credo,GitHub,Repo,,https://github.com/zksync/credo
LongWriter,GitHub,Repo,"[ICLR 2025] LongWriter: Unleashing 10,000+ Word Generation from Long Context LLMs",https://github.com/THUDM/LongWriter
WALDO,GitHub,Repo,Whereabouts Ascertainment for Low-lying Detectable Objects. The SOTA in FOSS AI for drones!,https://github.com/stephansturges/WALDO
smart-contract-sanctuary,GitHub,Repo,🐦🌴🌴🌴🦕 A home for ethereum smart contracts. 🏠,https://github.com/tintinweb/smart-contract-sanctuary
ramda-fantasy,GitHub,Repo,:ram::sparkles: Fantasy-Land compatible types for easy integration with Ramda.js,https://github.com/ramda/ramda-fantasy
awesome-immigration,GitHub,Repo,An Awesome list of long-term visas,https://github.com/AwesomeVisa/awesome-immigration
twitter-advanced-search,GitHub,Repo,Advanced Search for Twitter. ,https://github.com/igorbrigadir/twitter-advanced-search
Is-Now-Illegal,GitHub,Repo,🚫 A NERD protest against Trump's Immigration ban,https://github.com/ivanseidel/Is-Now-Illegal
awesome-fantasy,GitHub,Repo,:european_castle: Fantasy literature worth reading,https://github.com/RichardLitt/awesome-fantasy
fp-jargon-zh,GitHub,Repo,函数式编程术语及示例。本项目译自 https://github.com/hemanth/functional-programming-jargon,https://github.com/shfshanyue/fp-jargon-zh
awesome-flame,GitHub,Repo,"An awesome list that curates the best Flame games, projects, libraries, tools, tutorials, articles and more.",https://github.com/flame-engine/awesome-flame
FluentHub,GitHub,Repo,A stylish yet powerful GitHub client for Windows,https://github.com/0x5bfa/FluentHub
bandinchina,GitHub,Repo,Naming and shaming companies who kowtow to Chinese censorship requests,https://github.com/caffeine-overload/bandinchina
d912pxy,GitHub,Repo,DirectX9 to DirectX12 API proxy for Guild Wars 2,https://github.com/megai2/d912pxy
awesome-javascript,GitHub,Repo,"A curated list of awesome JavaScript frameworks, libraries and software.",https://github.com/uhub/awesome-javascript
Counter-Strike,GitHub,Repo,Multiplayer FPS game - Counter-Strike: Football 🏉,https://github.com/solcloud/Counter-Strike
devilution-nx,GitHub,Repo,Diablo for the Nintendo Switch,https://github.com/lantus/devilution-nx
speechpy,GitHub,Repo,:speech_balloon: SpeechPy - A Library for Speech Processing and Recognition: http://speechpy.readthedocs.io/en/latest/,https://github.com/astorfi/speechpy
MonoMod,GitHub,Repo,"C# modding swiss army knife, powered by cecil.",https://github.com/MonoMod/MonoMod
xai_resources,GitHub,Repo,Interesting resources related to XAI (Explainable Artificial Intelligence),https://github.com/pbiecek/xai_resources
sd-webui-photopea-embed,GitHub,Repo,A simple Stable Diffusion WebUI extension that adds a Photopea tab and integration.,https://github.com/yankooliveira/sd-webui-photopea-embed
microsoft-drop-ice,GitHub,Repo,Tell Microsoft to drop ICE as a client or lose us as GitHub users,https://github.com/selfagency/microsoft-drop-ice
PolData,GitHub,Repo,A dataset with political datasets,https://github.com/erikgahner/PolData
Legal-Text-Analytics,GitHub,Repo,"A list of selected resources, methods, and tools dedicated to Legal Text Analytics.",https://github.com/Liquid-Legal-Institute/Legal-Text-Analytics
UnityVisualizations,GitHub,Repo,Collection of shaders and visual effects created for Unity 3D.,https://github.com/WorldOfZero/UnityVisualizations
awesome-humanoid-learning,GitHub,Repo,Humanoid Robots Resources,https://github.com/jonyzhang2023/awesome-humanoid-learning
botty,GitHub,Repo,D2R Pixel Bot,https://github.com/aeon0/botty
YouTube_Channels,GitHub,Repo,A comprehensive list of YouTube channels and other resources.,https://github.com/PrejudiceNeutrino/YouTube_Channels
GoodHound,GitHub,Repo,"Uses Sharphound, Bloodhound and Neo4j to produce an actionable list of attack paths for targeted remediation.",https://github.com/idnahacks/GoodHound
d2dx,GitHub,Repo,"D2DX is a complete solution to make Diablo II run well on modern PCs, with high fps and better resolutions.",https://github.com/bolrog/d2dx
awesome-reading-list,GitHub,Repo,程序员必读书单,https://github.com/alwayrun/awesome-reading-list
Unreal-Library,GitHub,Repo,"UnrealScript decompiler library for Unreal package files (.upk, .u, .uasset; etc), with support for Unreal Engine 1, 2, and 3",https://github.com/EliotVU/Unreal-Library
Deej-AI,GitHub,Repo,Create automatic playlists by using Deep Learning to *listen* to the music.,https://github.com/teticio/Deej-AI
GliderPRO,GitHub,Repo,"Sources for the Macintosh game, Glider PRO, written by John Calhoun and published by Casady & Green Inc.",https://github.com/softdorothy/GliderPRO
